-10,549.322542,554.0771826,544,550.5740128,1526
0,550.1689208,558.0013579,531,550.2591991,1536
10,551.0439893,548.5938002,528,581.7291869,1546
20,551.3170268,549.7579841,520,582.4131114,1556
30,551.4488436,535.5779497,531,581.4612781,1566
40,551.0648716,553.7668505,561,576.7626846,1576
50,552.4073557,562.4751056,552,570.3366522,1586
60,553.6183998,553.2065355,532.6959698,564.7836345,1596
70,553.626403,555.1535749,546.7355281,556.2261953,1606
80,553.238784,564.4926586,546.8560702,548.9216739,1616
90,551.6243917,564.4045969,554.5733306,553.7718142,1626
100,553.3043693,577.5023826,543.2137624,564.0693525,1636
110,555.5334771,570.3642804,558.4198872,547.2747365,1646
120,558.1924476,585.3389807,555.2272059,558.7711288,1656
130,559.1810813,583.8276876,554.3646553,560.4275611,1666
140,557.6219669,578.5476411,533.5447327,573.322894,1676
150,557.9429458,571.7778854,527.2044784,546.6651863,1686
160,557.0798402,569.3191677,537.9334991,544.5470956,1696
170,558.2354731,554.0718177,547.0924164,541.0497262,1706
180,562.5319411,554.2713205,561.719106,560.7482854,1716
190,562.6711657,548.9081592,550.8806671,575.4409863,1726
200,557.0655415,561.7577889,536.3039593,590.6631478,1736
210,556.4791832,570.7903599,531.4283199,547.0590161,1746
220,557.3116405,567.4639887,538.018888,545.328665,1756
230,556.943354,568.0384624,550.6461196,538.7110776,1766
240,559.5863364,560.1887897,526.180926,557.716471,1776
250,565.5517187,557.5975677,531.9427893,535.2963572,1786
260,564.3353422,555.2334648,539.7710251,529.7784764,1796
271,561.03751,564.1424772,568.0610528,525.1544124,1807
281,557.3249861,568.1231924,570.4277075,538.6915869,1817
290,556.9825896,569.887807,571.5334557,530.7251693,1826
300,556.1015176,534.6388379,569.6606387,524.1458113,1836
323,509.2898234,526.2720843,448.3444622,558.9739786,1859
323,509.2898234,527.0580779,375.6306656,552.7968822,1859
330,505.5775354,521.0963665,376.7816339,533.0247462,1866
342,511.6311535,487.7999614,381.3608494,542.389553,1878
350,518.9029817,486.7509025,415.1419046,549.2414235,1886
360,518,476.0735013,431.9027709,561.8869093,1896
370,544.0980955,495.8921263,451.6400704,564.0144182,1906
380,540.8236062,516.7251178,441.5587784,545.5167003,1916
390,542.7851785,527.0228329,435.3481338,563.2581325,1926
400,548.004636,499.2902163,439.037595,566.4507763,1936
410,541.8884887,508.8968406,432.0884451,560.0250109,1946
420,537.148991,521.9017869,418.4552833,547.1200663,1956
430,545.5380131,534.8341638,453.6292633,553.1202376,1966
440,552.180058,519.0678006,454.673405,539.2912378,1976
450,558.6886075,501.2371496,427.0939687,546.5907837,1986
460,547.2345643,503.8622147,432.1395796,575.8022993,1996
470,549.0391426,498.3982328,437.7675681,569.3698743,2006
480,548.5608974,514.5806241,443.1246291,560.5718772,2016
490,550.7041032,511.0390115,425.3368387,567.0224593,2026
500,551.6297248,504.9708657,435.6104259,573.3356526,2036
510,549.2239557,475.169685,456.6668123,556.6997747,2046
520,549.5613061,475.5112106,454.9469473,567.1613249,2056
530,547.2373294,491.4731455,412.0560916,584.6841656,2066
540,539.2986844,500.5239804,426.2600493,543.7680839,2076
550,540.3599609,509.6507499,423.0646928,561.452403,2086
560,541.7090954,507.5446361,438.7697517,548.5118602,2096
570,546.102404,494.1262234,430.5040031,544.3222222,2106
580,548.7302097,504.683931,436.7848812,541.0972195,2116
590,544.0771826,491.8678371,446.9912979,542.2923072,2126
600,548.0013579,488.1085506,431.4294805,566.7874443,2136
610,538.5938002,483.9920398,425.3750061,572.3962968,2146
620,539.7579841,495.7153117,416.7606362,587.9047767,2156
630,525.5779497,534.6686217,409.4120369,588.5593077,2166
640,553.7668505,552.6082713,479.7660942,582.4234865,2176
650,562.4751056,532.6959698,507.7250702,575.9998553,2186
660,563.2065355,546.7355281,525.2127134,536.2479212,2196
670,575.1535749,546.8560702,559.3367363,542.8119938,2206
680,564.4926586,554.5733306,527.0536364,540.1921498,2216
690,564.4045969,543.2137624,537.3757216,544.3085319,2226
700,577.5023826,558.4198872,522.8112533,561.4163827,2236
710,560.3642804,555.2272059,534.9607244,561.5123424,2246
720,575.3389807,554.3646553,535.9114479,544.2998774,2256
730,573.8276876,533.5447327,542.8645855,556.1971323,2266
740,568.5476411,527.2044784,535.1628036,586.5944751,2276
750,561.7778854,537.9334991,536.9907376,576,2286
760,559.3191677,547.0924164,545.5965264,559,2296
770,544.0718177,561.719106,548.2674272,564,2306
780,554.2713205,550.8806671,552.5211405,563,2316
790,548.9081592,536.3039593,533.234,578,2326
800,551.7577889,531.4283199,540.234,557,2336
810,550.7903599,538.018888,548.834,532,2346
820,547.4639887,550.6461196,525.234,563,2356
